Area,Element,Item,Year,Value
Kuwait,Food supply quantity (kg/capita/yr),Poultry Meat,2017,45.24
Kyrgyzstan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.12
Lao People's Democratic Republic,Food supply quantity (kg/capita/yr),Poultry Meat,2017,5.37
Latvia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.96
Lebanon,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.82
Lesotho,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.23
Liberia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.93
Libya,Food supply quantity (kg/capita/yr),Poultry Meat,2017,27.4
Lithuania,Food supply quantity (kg/capita/yr),Poultry Meat,2017,28.37
Luxembourg,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.8
Madagascar,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.14
Malawi,Food supply quantity (kg/capita/yr),Poultry Meat,2017,7.22
Malaysia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,52.26
Maldives,Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.71
Malta,Food supply quantity (kg/capita/yr),Poultry Meat,2017,23.71
Mauritania,Food supply quantity (kg/capita/yr),Poultry Meat,2017,5.23
Mauritius,Food supply quantity (kg/capita/yr),Poultry Meat,2017,37.25
Mexico,Food supply quantity (kg/capita/yr),Poultry Meat,2017,34.15
Mongolia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.79
Montenegro,Food supply quantity (kg/capita/yr),Poultry Meat,2017,16.3
Morocco,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.59
Mozambique,Food supply quantity (kg/capita/yr),Poultry Meat,2017,4.13
Myanmar,Food supply quantity (kg/capita/yr),Poultry Meat,2017,32.02
Namibia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,10.89
Nepal,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.06
Netherlands (Kingdom of the),Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.79
New Caledonia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,36.11
New Zealand,Food supply quantity (kg/capita/yr),Poultry Meat,2017,25.51
Nicaragua,Food supply quantity (kg/capita/yr),Poultry Meat,2017,21.84
Niger,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.07
Nigeria,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.37
North Macedonia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,21.34
Norway,Food supply quantity (kg/capita/yr),Poultry Meat,2017,20.76
Oman,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.27
Pakistan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,5.73
Panama,Food supply quantity (kg/capita/yr),Poultry Meat,2017,33.79
Papua New Guinea,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.33
Paraguay,Food supply quantity (kg/capita/yr),Poultry Meat,2017,10.23
Peru,Food supply quantity (kg/capita/yr),Poultry Meat,2017,38.19
Philippines,Food supply quantity (kg/capita/yr),Poultry Meat,2017,13.82
Poland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,33.27
Portugal,Food supply quantity (kg/capita/yr),Poultry Meat,2017,30.48
Republic of Korea,Food supply quantity (kg/capita/yr),Poultry Meat,2017,18.81
Republic of Moldova,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.73
Romania,Food supply quantity (kg/capita/yr),Poultry Meat,2017,22.89
Russian Federation,Food supply quantity (kg/capita/yr),Poultry Meat,2017,31.7
Rwanda,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.49
Saint Kitts and Nevis,Food supply quantity (kg/capita/yr),Poultry Meat,2017,57.97
Saint Lucia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,62.47
Saint Vincent and the Grenadines,Food supply quantity (kg/capita/yr),Poultry Meat,2017,80.34
Samoa,Food supply quantity (kg/capita/yr),Poultry Meat,2017,73.01
Sao Tome and Principe,Food supply quantity (kg/capita/yr),Poultry Meat,2017,9.48
Saudi Arabia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,40.91
Senegal,Food supply quantity (kg/capita/yr),Poultry Meat,2017,6.17
Serbia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.77
Seychelles,Food supply quantity (kg/capita/yr),Poultry Meat,2017,35.25
Sierra Leone,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.95
Slovakia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,13.97
Slovenia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,24.19
Solomon Islands,Food supply quantity (kg/capita/yr),Poultry Meat,2017,7.1
South Africa,Food supply quantity (kg/capita/yr),Poultry Meat,2017,36.71
Spain,Food supply quantity (kg/capita/yr),Poultry Meat,2017,30.34
Sri Lanka,Food supply quantity (kg/capita/yr),Poultry Meat,2017,9.02
Suriname,Food supply quantity (kg/capita/yr),Poultry Meat,2017,31.7
Sweden,Food supply quantity (kg/capita/yr),Poultry Meat,2017,16.34
Switzerland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.83
Syrian Arab Republic,Food supply quantity (kg/capita/yr),Poultry Meat,2017,8.05
Tajikistan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,4.14
Thailand,Food supply quantity (kg/capita/yr),Poultry Meat,2017,12.64
Timor-Leste,Food supply quantity (kg/capita/yr),Poultry Meat,2017,10.41
Trinidad and Tobago,Food supply quantity (kg/capita/yr),Poultry Meat,2017,58.1
Tunisia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,16.71
Türkiye,Food supply quantity (kg/capita/yr),Poultry Meat,2017,21.18
Turkmenistan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,4.39
Uganda,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.63
Ukraine,Food supply quantity (kg/capita/yr),Poultry Meat,2017,23.2
United Arab Emirates,Food supply quantity (kg/capita/yr),Poultry Meat,2017,26.84
United Kingdom of Great Britain and Northern Ireland,Food supply quantity (kg/capita/yr),Poultry Meat,2017,33.26
United Republic of Tanzania,Food supply quantity (kg/capita/yr),Poultry Meat,2017,1.22
United States of America,Food supply quantity (kg/capita/yr),Poultry Meat,2017,54.6
Uruguay,Food supply quantity (kg/capita/yr),Poultry Meat,2017,9.37
Uzbekistan,Food supply quantity (kg/capita/yr),Poultry Meat,2017,2.12
Vanuatu,Food supply quantity (kg/capita/yr),Poultry Meat,2017,16.72
Venezuela (Bolivarian Republic of),Food supply quantity (kg/capita/yr),Poultry Meat,2017,15.89
Viet Nam,Food supply quantity (kg/capita/yr),Poultry Meat,2017,9.75
Yemen,Food supply quantity (kg/capita/yr),Poultry Meat,2017,7.64
Zambia,Food supply quantity (kg/capita/yr),Poultry Meat,2017,3.46
Zimbabwe,Food supply quantity (kg/capita/yr),Poultry Meat,2017,5.07
