Canada,Urban population (% of total population),81.4018945832226
Latin America & Caribbean (excluding high income),Urban population (% of total population),79.17325470404710
Turkmenistan,Urban population (% of total population),47.0334857399476
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",Urban population (% of total population),51.02128913298280
São Tomé and Príncipe,Urban population (% of total population),67.6520004272461
World,Urban population (% of total population),55.31842264509480
Curaçao,Urban population (% of total population),91.3480685861287
Haiti,Urban population (% of total population),50.735083378449
Ukraine,Urban population (% of total population),69.2633108489282
Bahrain,Urban population (% of total population),100.0
Fiji,Urban population (% of total population),55.7408343449609
Colombia,Urban population (% of total population),77.2245191706503
United States,Urban population (% of total population),80.4018678392891
Sub-Saharan Africa,Urban population (% of total population),40.77471318038460
Uzbekistan,Urban population (% of total population),50.6787376403809
Madagascar,Urban population (% of total population),29.671033028335
Papua New Guinea,Urban population (% of total population),13.5249644881888
Brazil,Urban population (% of total population),86.1982897571091
Italy,Urban population (% of total population),69.5180784259382
Central Europe and the Baltics,Urban population (% of total population),61.871575661727
Algeria,Urban population (% of total population),71.3227912436551
IDA blend,Urban population (% of total population),45.11442594872830
Mongolia,Urban population (% of total population),67.9260583223672
Greece,Urban population (% of total population),77.8895342613411
Spain,Urban population (% of total population),79.4663233085683
Chile,Urban population (% of total population),87.8000295757281
"Egypt, Arab Rep.",Urban population (% of total population),42.4486008687179
Early-demographic dividend,Urban population (% of total population),45.12493605555890
Cayman Islands,Urban population (% of total population),100.0
East Asia & Pacific,Urban population (% of total population),59.80370838384590
Nigeria,Urban population (% of total population),57.3486345560101
Albania,Urban population (% of total population),55.980276426546
United Kingdom,Urban population (% of total population),82.23065673273
Sub-Saharan Africa (excluding high income),Urban population (% of total population),43.08551023730350
Honduras,Urban population (% of total population),55.3877322339915
Pacific island small states,Urban population (% of total population),38.804351318085100
West Bank and Gaza,Urban population (% of total population),85.3782255354
"Somalia, Federal Republic of",Urban population (% of total population),48.3639630032265
Sub-Saharan Africa (IDA & IBRD),Urban population (% of total population),40.77471318038460
"Micronesia, Fed. Sts.",Urban population (% of total population),22.332401189542
Rwanda,Urban population (% of total population),20.2477568101111
East Asia & Pacific (excluding high income),Urban population (% of total population),56.46546382583270
Zimbabwe,Urban population (% of total population),34.7014953017273
Palau,Urban population (% of total population),79.8284579022498
Puerto Rico,Urban population (% of total population),93.8561953815964
Armenia,Urban population (% of total population),64.7124948593667
United Arab Emirates,Urban population (% of total population),84.686675718659
Ireland,Urban population (% of total population),62.9035196521232
Grenada,Urban population (% of total population),36.0173296416579
Low income,Urban population (% of total population),34.508382675617400
Nicaragua,Urban population (% of total population),58.1892567408822
Bolivia,Urban population (% of total population),69.0838016274736
Ghana,Urban population (% of total population),54.6991419779128
Tanzania,Urban population (% of total population),32.2987013317296
Latvia,Urban population (% of total population),67.9706866054779
France,Urban population (% of total population),78.6467804026368
American Samoa,Urban population (% of total population),83.8890385422071
Iceland,Urban population (% of total population),93.7718982310092
Lithuania,Urban population (% of total population),67.1012954711914
Tunisia,Urban population (% of total population),68.2877807617188
Dominica,Urban population (% of total population),70.6405848604787
Jordan,Urban population (% of total population),90.8764609714428
Costa Rica,Urban population (% of total population),76.0539254265608
Vanuatu,Urban population (% of total population),24.7644441456437
Morocco,Urban population (% of total population),61.2761057031842
Ecuador,Urban population (% of total population),63.0194591842425
Cuba,Urban population (% of total population),76.9603271484375
High income,Urban population (% of total population),79.56463615530090
Guinea-Bissau,Urban population (% of total population),43.0155792236328
Cambodia,Urban population (% of total population),35.0127905056235
Zambia,Urban population (% of total population),42.7295979877011
Turks and Caicos Islands,Urban population (% of total population),92.4155868799755
Antigua and Barbuda,Urban population (% of total population),24.8500263836871
