Country Name,Country Code,2017 [YR2017]
Switzerland,CHE,1.1641565
Syrian Arab Republic,SYR,-2.4453795
"Taiwan, China",TWN,1.0259424
Tajikistan,TJK,-0.6533475
Tanzania,TZA,-0.683829799999999
Thailand,THA,-0.984692599999999
Timor-Leste,TLS,0.0703179999999999
Togo,TGO,-0.835878399999999
Tonga,TON,0.8010403
Trinidad and Tobago,TTO,0.0748617
Tunisia,TUN,-0.7432926
Turkiye,TUR,-1.70623179999999
Turkmenistan,TKM,-0.2289187
Tuvalu,TUV,1.1385207
Uganda,UGA,-0.6855171
Ukraine,UKR,-1.590004
United Arab Emirates,ARE,0.7192871
United Kingdom,GBR,0.4406625
United States,USA,0.1101294
Uruguay,URY,1.1129983
Uzbekistan,UZB,-0.2138791
Vanuatu,VUT,0.8525004
"Venezuela, RB",VEN,-1.38006459999999
Viet Nam,VNM,0.1500179
Virgin Islands (U.S.),VIR,0.8126545
West Bank and Gaza,PSE,-1.3682541
"Yemen, Rep.",YEM,-2.7305026
Zambia,ZMB,-0.211101999999999
Zimbabwe,ZWE,-0.8348774
,,
,,
,,
Data from database: Worldwide Governance Indicators,,
Last Updated: 03/18/2026,,
