Area,Item,Year,Unit,Value
Congo,Grand Total,2017,g/cap/d,52.98
Congo,Animal Products,2017,g/cap/d,27.45
Congo,Poultry Meat,2017,g/cap/d,9.04
Costa Rica,Grand Total,2017,g/cap/d,82.47
Costa Rica,Animal Products,2017,g/cap/d,47.77
Costa Rica,Poultry Meat,2017,g/cap/d,12.07
Côte d'Ivoire,Grand Total,2017,g/cap/d,64.44
Côte d'Ivoire,Animal Products,2017,g/cap/d,14.54
Côte d'Ivoire,Poultry Meat,2017,g/cap/d,0.82
Croatia,Grand Total,2017,g/cap/d,100.2
Croatia,Animal Products,2017,g/cap/d,61.75
Croatia,Poultry Meat,2017,g/cap/d,5.13
Cuba,Grand Total,2017,g/cap/d,99.73
Cuba,Animal Products,2017,g/cap/d,44.13
Cuba,Poultry Meat,2017,g/cap/d,13.59
Cyprus,Grand Total,2017,g/cap/d,95.27
Cyprus,Animal Products,2017,g/cap/d,49.97
Cyprus,Poultry Meat,2017,g/cap/d,10.94
Czechia,Grand Total,2017,g/cap/d,95.19
Czechia,Animal Products,2017,g/cap/d,59.75
Czechia,Poultry Meat,2017,g/cap/d,10.06
Democratic People's Republic of Korea,Grand Total,2017,g/cap/d,58.42
Democratic People's Republic of Korea,Animal Products,2017,g/cap/d,11.73
Democratic People's Republic of Korea,Poultry Meat,2017,g/cap/d,0.73
Democratic Republic of the Congo,Grand Total,2017,g/cap/d,29.6
Democratic Republic of the Congo,Animal Products,2017,g/cap/d,3.66
Democratic Republic of the Congo,Poultry Meat,2017,g/cap/d,0.63
Denmark,Grand Total,2017,g/cap/d,123.4
Denmark,Animal Products,2017,g/cap/d,84.38
Denmark,Poultry Meat,2017,g/cap/d,11.81
Djibouti,Grand Total,2017,g/cap/d,72.33
Djibouti,Animal Products,2017,g/cap/d,15.06
Djibouti,Poultry Meat,2017,g/cap/d,1.17
Dominican Republic,Grand Total,2017,g/cap/d,71.56
Dominican Republic,Animal Products,2017,g/cap/d,38.85
Dominican Republic,Poultry Meat,2017,g/cap/d,15.79
Ecuador,Grand Total,2017,g/cap/d,67.13
Ecuador,Animal Products,2017,g/cap/d,35.55
Ecuador,Poultry Meat,2017,g/cap/d,9.16
Egypt,Grand Total,2017,g/cap/d,91.88
Egypt,Animal Products,2017,g/cap/d,26.92
Egypt,Poultry Meat,2017,g/cap/d,6.74
El Salvador,Grand Total,2017,g/cap/d,80.2
El Salvador,Animal Products,2017,g/cap/d,32.04
