Area,Year,Unit,Value
Poland,2017,1000 No,38254.959
Portugal,2017,1000 No,10330.844
Puerto Rico,2017,1000 No,3371.874
Qatar,2017,1000 No,2706.709
Republic of Korea,2017,1000 No,51486.27
Republic of Moldova,2017,1000 No,3193.497
Réunion,2017,1000 No,858.754
Romania,2017,1000 No,19689.402
Russian Federation,2017,1000 No,146186.799
Rwanda,2017,1000 No,12202.06
Saint Barthélemy,2017,1000 No,9.928
Saint Kitts and Nevis,2017,1000 No,47.05
Saint Lucia,2017,1000 No,176.342
Saint Martin (French part),2017,1000 No,36.837
Saint Pierre and Miquelon,2017,1000 No,5.919
Saint Vincent and the Grenadines,2017,1000 No,105.663
Samoa,2017,1000 No,205.415
San Marino,2017,1000 No,34.378
Sao Tome and Principe,2017,1000 No,206.97
Saudi Arabia,2017,1000 No,30782.402
Senegal,2017,1000 No,15475.002
Serbia,2017,1000 No,7073.507
Seychelles,2017,1000 No,112.427
Sierra Leone,2017,1000 No,7379.299
Singapore,2017,1000 No,5604.078
Sint Maarten (Dutch part),2017,1000 No,38.996
Slovakia,2017,1000 No,5435.7
Slovenia,2017,1000 No,2062.41
Solomon Islands,2017,1000 No,685.672
Somalia,2017,1000 No,14916.629
South Africa,2017,1000 No,57635.162
South Sudan,2017,1000 No,10259.154
Spain,2017,1000 No,46868.596
Sri Lanka,2017,1000 No,22087.522
Sudan,2017,1000 No,42714.306
Suriname,2017,1000 No,593.713
Sweden,2017,1000 No,10057.862
Switzerland,2017,1000 No,8453.628
Syrian Arab Republic,2017,1000 No,19224.668
Tajikistan,2017,1000 No,9085.946
Thailand,2017,1000 No,71160.187
Timor-Leste,2017,1000 No,1251.703
Togo,2017,1000 No,7324.386
Tokelau,2017,1000 No,1.742
Tonga,2017,1000 No,105.356
Trinidad and Tobago,2017,1000 No,1445.261
Tunisia,2017,1000 No,11650.498
Türkiye,2017,1000 No,83083.662
Turkmenistan,2017,1000 No,6507.061
Turks and Caicos Islands,2017,1000 No,39.913
Tuvalu,2017,1000 No,10.869
Uganda,2017,1000 No,40177.388
Ukraine,2017,1000 No,45436.041
United Arab Emirates,2017,1000 No,9234.327
United Kingdom of Great Britain and Northern Ireland,2017,1000 No,66354.471
United Republic of Tanzania,2017,1000 No,55652.89
United States of America,2017,1000 No,332204.66
United States Virgin Islands,2017,1000 No,95.118
Uruguay,2017,1000 No,3388.438
Uzbekistan,2017,1000 No,31819.178
Vanuatu,2017,1000 No,278.507
Venezuela (Bolivarian Republic of),2017,1000 No,30565.323
Viet Nam,2017,1000 No,95176.977
Wallis and Futuna Islands,2017,1000 No,11.918
Western Sahara,2017,1000 No,512.843
Yemen,2017,1000 No,33090.921
Zambia,2017,1000 No,17441.32
Zimbabwe,2017,1000 No,14812.482
